cross_correlation,max_amplitude_difference,p_wave_onset_difference
0.12977439,1.4068402,393.6667
0.21249956,0.96163815,259.0
0.07702775,1.0404177,651.6667
0.2182613,1.6714672,196.0
0.12264951,1.9318492,195.0
0.26076648,1.714662,169.0
0.16673878,2.0635114,194.33334
0.3757835,1.8316154,651.0
0.24547064,2.000512,429.0
0.20758629,1.9242554,211.66667
0.08732071,1.173672,470.6667
0.06493191,1.2329019,516.0
0.11947882,1.4786466,117.0
0.4353145,1.4744829,222.0
0.2303922,2.082996,224.33334
0.13444659,1.3056812,615.0
0.05465203,0.7942617,142.66667
0.19526082,2.0861561,181.0
0.13742343,1.6638864,416.33334
0.058343485,1.5297035,390.6667
0.04376934,1.3141168,443.0
0.2296984,1.1336421,18.333334
0.110948846,1.2903641,317.33334
0.21198909,1.2882705,128.0
0.14599322,1.1398239,136.66667
0.25509614,1.2804768,299.0
0.21594636,1.0979695,164.66667
0.23777202,2.216132,82.0
0.13057345,1.5302081,389.6667
0.16375725,1.6399622,416.6667
0.17140272,1.1878351,158.0
0.38304633,2.891951,176.0
0.1855818,1.2795856,253.0
0.17848967,1.6372511,215.0
0.17053716,1.520711,330.0
0.12970357,2.1559286,486.33334
0.15123808,1.1859697,210.0
0.19874674,2.113755,294.33334
0.24514459,1.9713591,114.66667
0.24742912,1.8826725,173.33334
0.2752022,1.2882187,507.0
0.13318257,1.471816,301.33334
0.15412496,1.2993646,128.33334
0.18220656,1.9411244,160.0
0.19933352,1.6125267,572.0
0.16323039,1.4581652,26.333334
0.08661705,1.146387,381.33334
0.21368518,1.2214291,246.66667
0.3177448,4.482154,199.66667
0.14206257,1.337862,372.33334
0.47355336,2.0975223,113.0
0.14294408,1.1010514,164.0
0.2359525,2.7525916,129.66667
0.1962508,1.5511546,286.33334
0.089689896,1.592685,312.33334
0.1555741,1.2896883,350.0
0.14481394,1.5868635,367.0
0.124272995,1.4634244,100.333336
0.23704728,1.8724235,194.0
0.06445086,1.4864177,471.33334
0.1167089,1.8118824,297.33334
0.23889099,2.28624,138.33334
0.12203892,1.7162426,202.0
0.08686048,1.7978368,381.6667
0.13279837,1.902574,235.0
0.22597647,1.6928085,136.0
0.42326817,2.0827606,144.0
0.15648831,1.5153139,560.0
0.17387043,1.0056932,179.66667
0.32827163,1.2300291,136.0
0.13423179,1.2289661,176.0
0.16690937,1.399575,587.0
0.17372417,1.6241912,211.33334
0.08557871,1.3259821,321.0
0.07420879,0.63702655,536.0
0.21419218,0.9966447,156.0
0.17600898,1.2917278,361.33334
