cross_correlation,max_amplitude_difference,p_wave_onset_difference
0.120962374,0.71553385,374.33334
0.22018078,0.6386317,251.0
0.076379925,0.6356445,636.0
0.23662043,1.2082148,198.66667
0.14019531,0.9247041,197.0
0.24283144,0.69594544,169.33334
0.16494697,0.8160871,197.66667
0.39810953,1.0800948,651.0
0.1966336,0.6344072,427.0
0.25438863,0.9393653,200.33334
0.08781367,0.59793735,497.33334
0.050108597,0.42745048,507.0
0.1287605,0.55978656,130.33334
0.45286617,0.72858304,218.33334
0.22191077,0.85618675,221.0
0.11778472,0.58518326,615.0
0.048694458,0.6472089,143.33334
0.22268502,0.9417039,178.0
0.14507307,0.8187763,283.0
0.054548394,0.5720386,398.0
0.0526444,0.7013573,467.33334
0.20603725,0.6716788,21.666668
0.103329025,0.69197774,368.33334
0.23174082,0.80987024,131.66667
0.14728823,0.41106611,124.0
0.2761311,0.861967,295.33334
0.24542873,0.5812133,164.66667
0.2462533,0.90028906,79.0
0.14177749,0.543117,264.33334
0.15487397,0.7486645,418.6667
0.18489006,0.58249605,160.0
0.46874318,1.0909736,177.66667
0.18264231,0.70478153,266.0
0.21680301,0.7277334,218.66667
0.1780055,0.76563156,371.33334
0.14648354,0.9757334,483.0
0.14672795,0.6033053,210.66667
0.17402172,0.65584207,297.33334
0.2520529,1.045969,111.66667
0.25794306,0.7557403,170.33334
0.24618535,0.58985114,507.0
0.1769265,0.7432015,292.6667
0.1480291,0.7594392,130.66667
0.20488577,0.7002071,155.33334
0.2081617,0.80149883,572.0
0.19647281,0.88929737,29.0
0.08164581,0.5915205,378.33334
0.2629043,0.7885243,244.0
0.277466,1.4165313,200.66667
0.12648833,0.6602118,385.33334
0.46758366,0.7076043,112.333336
0.1464333,0.67354864,168.33334
0.21056084,0.86897224,127.0
0.18016669,0.7103519,276.0
0.07677595,0.6351577,325.6667
0.16736184,0.6385264,344.6667
0.14561261,0.7996657,362.0
0.1320607,0.82266945,98.333336
0.2264243,0.93276584,191.33334
0.06267457,0.62694263,455.0
0.10928944,0.7820963,276.0
0.2700699,1.1869259,141.33334
0.12185674,0.735571,200.66667
0.091377765,0.8136833,382.0
0.12730592,0.8130097,237.0
0.24406871,0.7067288,133.0
0.3877941,1.0323681,140.0
0.16613625,0.6265666,560.0
0.18871634,0.63097036,72.66667
0.39800888,0.69449675,138.66667
0.12956217,0.6241328,181.0
0.1645906,0.6622793,587.0
0.17189209,0.6045474,208.0
0.09214476,0.67105126,337.0
0.08367781,0.5698755,538.3334
0.20964806,0.5792835,156.0
0.19500278,0.59432995,363.33334
0.12272471,0.76700866,359.33334
0.13632321,0.80269814,470.6667
0.14688377,0.6955606,198.33334
0.29996923,0.52333266,161.33334
0.078503445,0.97643226,357.0
0.098695844,0.6766512,247.0
0.34889102,0.68999374,233.33334
0.08355193,0.71057147,456.33334
0.05564433,0.47176528,364.6667
0.21830319,0.8229468,180.33334
0.17086248,0.75226843,87.0
0.3387348,0.65367645,245.0
0.10031818,0.694852,460.33334
0.20352128,0.7744956,127.0
0.19716755,0.8230858,180.33334
0.17170231,0.6095258,571.0
0.10403248,0.65256405,212.0
0.11061325,0.68041074,202.33334
0.2067467,1.0418475,456.33334
0.103749655,0.6043627,678.0
0.3186512,0.80695343,176.66667
0.068055734,0.8259601,443.6667
0.17512105,0.8755441,175.66667
0.14443563,0.68482065,672.0
0.14771315,1.1569991,20.666668
0.30195382,0.8305203,129.33334
0.15294842,0.5780207,379.33334
0.2711671,0.64974236,192.33334
0.098303616,0.6650262,467.0
0.25421825,0.6225821,173.33334
0.13064526,0.921767,97.333336
0.10115576,0.742525,384.0
0.23981927,0.684216,112.66667
0.19610578,0.62481284,354.0
0.29236782,0.64408636,81.0
0.043604136,0.4995165,576.6667
0.11029515,0.63203835,468.6667
0.08481173,0.71992826,309.33334
0.24714792,0.67217433,165.66667
0.17156976,0.66359806,190.33334
0.11438169,0.5283532,398.33334
0.26164764,0.8860218,177.0
0.15698546,1.1558397,178.66667
0.2958791,0.71828544,136.33334
0.10768583,0.45973048,288.0
0.058111712,0.8538925,282.33334
0.099876456,0.7620015,413.0
0.19008963,0.5498291,237.66667
0.08723166,0.69321316,256.33334
0.07089419,0.61676276,352.33334
0.10007833,0.62882185,350.6667
0.14379592,0.5187613,231.33334
0.099647224,0.6501739,504.0
0.12899391,0.6925161,380.33334
0.0733782,0.45473707,388.6667
0.10778105,0.65691996,443.33334
0.35108733,0.6649364,462.0
0.13838464,0.8900161,439.33334
0.3254097,0.5629162,201.33334
0.11588399,0.51942146,407.0
0.19955006,0.7019243,697.0
0.10510115,0.57940996,549.0
0.112240896,0.67140245,441.0
0.07733421,0.70501125,446.0
0.13088101,0.57648987,136.33334
0.1628488,0.8075595,242.33334
0.2807777,0.7546255,230.0
0.11794025,0.65869564,27.666668
0.11538377,0.5951365,645.0
0.1517693,1.2104566,24.0
0.282911,0.6189432,157.33334
0.12215091,0.6588015,339.6667
0.18610668,0.8274674,292.6667
0.19477627,0.80643386,418.33334
0.20341194,0.57409585,214.66667
0.27794868,0.8479225,173.66667
0.30520347,0.73727864,93.66667
0.11896848,0.62680644,149.66667
0.111378215,0.5742469,249.33334
0.26412326,0.6605355,375.33334
0.2686084,0.69703114,88.66667
0.15510729,0.82998765,161.66667
0.13087213,0.7006749,368.6667
0.21122858,0.71626925,125.66667
0.22883841,0.6395691,247.66667
0.22995126,0.78192437,617.0
0.16655186,0.78533113,258.33334
0.2974894,0.6037618,375.6667
0.06283207,0.58333176,449.6667
0.23657942,0.7785884,192.33334
0.35163626,0.83602494,155.33334
0.30892536,0.7019987,138.33334
0.24713612,0.78159904,49.666668
0.35259974,0.7889518,209.66667
0.26286745,1.1463766,92.0
0.421378,0.80383456,123.0
0.14797431,0.80718416,34.333336
0.067819476,0.9044582,470.33334
0.07040152,0.55201817,559.6667
0.17487273,0.6356709,332.33334
0.08262442,0.5182013,352.33334
0.0721543,0.7432221,196.0
0.09548116,0.72955036,587.3334
0.19157049,0.6898195,211.33334
0.20064178,0.6718592,17.666668
0.103175364,0.83406585,235.66667
0.13473403,0.62871665,352.0
0.202242,0.84728146,158.66667
0.088961154,0.63886863,239.0
0.23002003,0.6223659,397.0
0.1928378,0.6943799,153.0
0.19436744,0.9133153,255.66667
0.07707115,0.4992624,378.33334
0.19537477,0.922675,220.66667
0.14922988,0.5453413,452.0
0.13260418,1.0484236,323.6667
0.22608326,0.7867856,232.0
0.28405276,0.9256689,205.0
0.3371197,0.89665675,115.333336
0.09968144,0.76756227,597.0
0.25165844,1.0071852,81.333336
0.3136217,0.6472518,495.0
0.3236689,0.67525923,138.33334
0.12158453,0.65684974,367.6667
0.13369767,0.94826025,476.6667
0.13102934,0.6510537,330.6667
0.15499854,0.6994168,109.66667
0.13692254,0.7772023,330.33334
0.11312018,0.47873542,408.33334
0.13019782,0.66669416,369.0
0.0634354,0.695889,158.33334
0.076555006,0.50313103,512.0
0.13726327,1.1525979,154.33334
0.19469528,0.96401703,421.0
0.10379055,0.80049247,357.33334
0.30724347,0.6768104,390.0
0.21287501,0.8802859,189.33334
0.23581034,0.7989774,608.0
0.10207888,0.5871887,245.33334
0.21013026,1.0450878,107.0
0.114098206,0.60301733,409.33334
0.05598074,0.42003995,297.33334
0.24964109,0.95133436,81.0
0.20954192,0.79483116,339.33334
0.23560905,0.738712,287.0
0.22398898,0.83954704,481.0
0.38805744,0.86624384,112.333336
0.2208519,0.6950869,336.33334
0.09597552,0.60022926,369.6667
0.40417713,0.69993126,414.33334
0.16153085,0.68716764,233.33334
0.13989876,0.6314931,409.33334
0.14518544,0.68205637,441.0
0.18492143,0.7022928,256.6667
0.2673161,0.7428872,153.66667
0.21827386,0.46749026,361.6667
0.38794228,0.9498345,77.66667
0.321517,0.86787844,132.66667
0.08852132,0.56479806,338.0
0.18831396,0.846461,405.0
0.117533326,0.6766858,316.0
0.14154735,0.7452539,347.33334
0.16527998,0.61712587,273.0
0.083059125,0.66980886,347.33334
0.2291939,0.9882841,27.666668
0.30799717,0.9120834,197.66667
0.10637047,0.58583426,413.0
0.40298578,0.81754154,393.33334
0.12928495,0.6973316,386.33334
0.2549565,0.6868104,144.33334
0.15110141,0.77899206,363.0
0.12191771,0.6877877,226.0
0.2818042,0.5824239,695.0
0.27321327,0.63187635,76.333336
0.54038715,1.1175706,153.66667
0.25799024,0.629323,664.0
0.21280396,0.62978566,249.33334
0.17342977,0.65574205,265.0
0.22199582,0.7962371,149.0
0.16726017,0.6635552,237.0
0.19987866,0.50716805,139.0
0.075931355,0.89921474,118.0
0.11304795,0.7395286,113.66667
0.10360273,0.68269265,332.0
0.1369782,0.96512175,345.0
0.16263701,0.9153794,200.33334
0.11473374,0.47458267,152.0
0.2117819,0.7571475,163.0
0.13570344,0.84031165,133.66667
0.11646436,0.70157516,229.0
0.08950104,0.65173924,412.6667
0.17137556,0.8210458,337.0
0.19366276,0.91830385,188.66667
0.12585968,0.6297125,254.33334
0.18721601,0.68743485,115.66667
0.122083366,0.8123585,173.33334
0.1482142,1.1584212,20.333334
0.27820826,0.60985804,311.33334
0.11301484,0.69446605,210.66667
0.08607116,0.59680635,388.6667
0.13041846,0.67664814,386.6667
0.27384838,0.8374621,152.33334
0.26245236,0.65081507,125.333336
0.105907276,0.79383504,333.33334
0.26519057,0.8610481,242.0
0.14596118,0.6401651,198.66667
0.22319083,0.65079397,430.0
0.08506636,0.61860216,270.33334
0.056095034,0.5522398,142.66667
0.19023114,0.67150825,321.33334
0.3293407,0.73594517,260.33334
0.08185147,0.7204356,390.33334
0.05301871,0.7401401,377.6667
0.169922,0.55159515,288.0
0.09931123,0.83561075,135.66667
0.30034348,0.8247583,157.33334
0.069702126,0.94115615,58.333336
0.09645279,0.50313175,26.666668
0.14650156,0.505511,385.33334
0.19623819,0.9732652,108.0
0.12778889,0.87083626,343.6667
0.17988256,0.66334164,200.33334
0.0947683,0.5443597,594.0
0.1521715,0.6444306,400.6667
0.22090809,0.7633516,201.0
0.12541416,0.6280749,323.33334
0.13888937,0.66799945,449.6667
0.15352702,0.43896815,337.33334
0.19137889,0.6898455,132.0
0.28560278,0.9666203,492.0
0.2311022,0.7113544,144.66667
0.11981671,0.80541104,204.0
0.09462929,0.54370254,309.6667
0.22828738,0.7591323,275.6667
0.13427708,0.6361637,259.6667
0.27658373,0.7905866,432.0
0.15409803,0.6387973,187.33334
0.06440562,0.54603183,414.0
