cross_correlation,max_amplitude_difference,p_wave_onset_difference
0.13327274,0.56993616,372.6667
0.22440854,0.41108033,251.0
0.06823958,0.49216232,637.3334
0.19782613,1.0213816,203.33334
0.1196323,0.6876399,195.0
0.27586782,0.528741,169.0
0.1628343,0.82300174,194.0
0.35880765,0.8900995,651.0
0.25598428,0.7865602,253.0
0.21494631,0.8917009,204.0
0.07574481,0.4272231,497.33334
0.06426823,0.44757152,516.0
0.12839848,0.56875885,117.0
0.41263437,0.6501756,221.33334
0.26372287,1.0226146,223.0
0.12576753,0.45362014,615.0
0.0682971,0.30813655,28.0
0.19758254,0.8824944,181.0
0.1377533,0.6050279,421.6667
0.056505695,0.6817011,358.0
0.03631109,0.39782676,395.6667
0.22059608,0.42074904,18.0
0.13330895,0.5254391,397.0
0.22409987,0.7504844,129.0
0.13264793,0.42535442,131.33334
0.23997526,0.5108212,299.0
0.22920959,0.42371464,156.0
0.26145732,0.96606266,82.0
0.1291539,0.524155,390.0
0.15200055,0.5201113,416.33334
0.1795249,0.4497803,157.0
0.39771533,1.2591312,175.33334
0.19182035,0.41925198,250.33334
0.20208299,0.6037553,215.33334
0.14145687,0.8625592,453.6667
0.118221484,0.9375383,480.6667
0.15753125,0.54673815,210.33334
0.21381663,0.86235046,297.33334
0.25831348,0.8379334,114.66667
0.25351202,0.8438584,173.33334
0.26858366,0.5193946,507.0
0.16658583,0.57921857,301.6667
0.16032131,0.54972255,126.0
0.18952462,0.8507974,160.0
0.21244204,0.6499536,572.0
0.19869302,0.71834207,26.333334
0.07624569,0.47209048,381.6667
0.25066355,0.48695692,244.33334
0.29737782,1.88484,199.0
0.13544801,0.6479417,372.6667
0.46035808,0.8142419,112.0
0.15747316,0.55123127,164.0
0.22533718,0.90669143,129.66667
0.19548838,0.5842008,281.33334
0.075656526,0.39732474,328.0
0.1440399,0.4687522,350.0
0.16160649,0.7800505,359.6667
0.14267631,0.64935917,28.333334
0.24292308,0.7191957,194.0
0.054952852,0.4797148,455.0
0.11530002,0.6236716,278.0
0.2705273,1.2273414,138.33334
0.1259664,0.759916,204.0
0.09133859,0.74192446,378.6667
0.106016695,0.88757896,236.0
0.24635279,0.6933149,136.33334
0.3959839,0.7254169,144.66667
0.154565,0.5623697,560.0
0.18740627,0.4308264,25.0
0.35936007,0.65736735,136.0
0.124586664,0.45429444,183.0
0.17141645,0.5487503,587.0
0.18024336,0.7196584,210.66667
0.08518132,0.435523,357.6667
0.06883468,0.2440105,561.6667
0.20697433,0.37509558,153.0
0.19821244,0.50637484,361.33334
0.11421466,0.41838264,365.0
0.10829228,0.99998,476.33334
0.15281406,0.66352266,202.33334
0.3212717,0.5613526,166.0
0.0594594,0.5035503,341.6667
0.11023181,0.42551836,239.33334
0.34973332,0.5831453,229.0
0.11237359,0.56184626,448.33334
0.057966694,0.51473725,1384.0
0.23350781,0.62165844,185.33334
0.20986818,0.53802794,90.0
0.34099066,0.7754332,248.0
0.1346286,0.5905432,559.0
0.21703336,0.6881819,108.0
0.20327775,1.1949861,2403.0
0.14397041,0.4834141,571.0
0.10819031,0.67332447,214.66667
0.106499285,0.46387607,199.66667
0.20905635,0.9684353,451.0
0.11105256,0.75086945,678.0
0.31646273,0.8520962,182.0
0.06603235,0.43847156,541.6667
0.1766309,0.48705614,255.33334
0.12714773,0.50142634,672.0
0.15484443,0.6384189,25.0
0.30534947,0.8190203,130.0
0.16452,0.5429054,375.0
0.31549254,0.81347275,192.33334
0.10190223,0.59617144,464.33334
0.22420439,0.9170295,173.33334
0.15188631,0.72839725,23.666668
0.14984128,0.64668906,381.0
0.23259231,0.8173903,117.333336
0.1903499,0.4711302,333.0
0.2965859,0.62072325,83.66667
0.037947197,0.36895275,529.0
0.12347719,0.50360906,458.33334
0.10095702,0.5660361,307.0
0.2153897,0.51973,165.0
0.16391253,0.46568656,184.0
0.11050495,0.42652458,423.0
0.26215112,0.76846254,175.0
0.15072164,0.69802845,182.0
0.2808643,0.5367824,139.0
0.14542693,0.5524894,413.0
0.02742758,0.3714233,280.33334
0.09726481,0.5271654,408.0
0.1959976,0.42518887,235.0
0.089864396,0.8010134,675.0
0.06475579,0.4351425,360.33334
0.10919653,0.41039318,377.33334
0.11153617,0.7442702,233.66667
0.08190042,0.10315049,711.0
0.1193484,0.5376353,377.6667
0.054440405,0.3043182,391.33334
0.15599695,0.634995,438.6667
0.33328554,0.54917264,462.0
0.15605147,0.7715684,441.6667
0.31031498,0.5314356,198.33334
0.13988295,0.4598049,405.0
0.26730174,0.43230647,1874.3334
0.13122694,0.4518537,549.0
0.11217441,0.4506614,411.33334
0.054272473,0.4670298,514.6667
0.10888255,0.41392455,84.333336
0.14905882,0.7380864,245.33334
0.26786774,0.5874269,228.0
0.116141394,0.6454017,27.333334
0.12881653,0.62097657,645.0
0.18076417,0.7306518,26.666668
0.28026116,0.4746685,154.66667
0.13056383,0.5459819,342.0
0.19994992,0.63302124,284.0
0.21011043,0.5809722,423.6667
0.19515078,0.42954215,225.66667
0.2993825,0.71533597,173.33334
0.3617333,0.9636203,92.0
0.12396343,0.506137,146.66667
0.13664362,0.48348057,253.0
0.32714823,0.6703686,378.33334
0.28917134,0.39541468,16.666668
0.18799165,0.49602923,159.66667
0.1194491,0.6842325,373.33334
0.2042174,0.5061643,142.0
0.22533385,0.47817874,244.0
0.25948834,0.5870454,617.0
0.21152803,0.7825958,258.0
0.29832858,0.4456863,374.0
0.05999493,0.6445173,452.0
0.23030727,0.9724773,196.66667
0.3520834,0.70449674,118.66667
0.32340428,0.64150685,137.0
0.26549783,0.8150498,48.666668
0.29288614,0.769555,211.66667
0.2638429,0.8808853,92.66667
0.4238647,0.6399871,120.66667
0.18693379,0.5241542,32.666668
0.08219917,0.611453,467.6667
0.061401423,0.36460978,539.0
0.17769441,0.7507236,332.0
0.07863833,0.40504858,359.6667
0.06832698,0.337154,200.66667
0.09395695,0.48044965,558.0
0.2114309,0.7796564,216.66667
0.18609421,0.48436362,21.0
0.11586913,0.88209265,239.0
0.121847704,0.509901,356.6667
0.20969974,1.0328377,154.33334
0.08683221,0.57846063,242.33334
0.2636473,0.57279015,394.0
0.22686288,0.57535267,155.33334
0.19081561,0.71452713,258.0
0.081333466,0.54227424,355.0
0.17538927,0.6391248,223.66667
0.15685311,0.5059066,536.3334
0.11988686,0.62670475,319.33334
0.2511806,0.76862353,234.66667
0.29095745,1.0553417,207.0
0.325353,0.80237746,119.0
0.0961737,0.42310977,597.0
0.20707652,0.8442528,77.0
0.33999023,0.49311882,495.0
0.33330858,0.58421576,136.0
0.11638677,0.55075616,370.33334
0.13152641,0.80539525,419.0
0.122568354,0.95911306,322.6667
0.17459838,0.6445172,102.333336
0.1783667,0.494156,326.33334
0.14107135,0.4383248,404.0
0.14865059,0.4630847,396.33334
0.08117764,0.41382533,392.6667
0.08959049,0.39119202,490.6667
0.16788642,0.6858741,28.333334
0.17656945,0.52681917,421.33334
0.12419455,0.5342301,358.0
0.39053783,0.6191381,390.0
0.17371848,0.7362503,193.0
0.23140419,0.6414382,608.0
0.10753741,0.49530256,253.33334
0.21415345,0.926527,112.0
0.10770357,0.4637743,411.6667
0.03628984,0.26806718,246.33334
0.2534662,0.7973629,85.0
0.25074118,0.62909913,336.33334
0.30997935,0.52965075,287.0
0.20181537,0.8322557,481.0
0.39361632,1.6826346,109.66667
0.22980432,0.6880994,338.6667
0.08125588,0.4983669,402.33334
0.44746727,0.6445183,387.0
0.14747664,0.7059548,225.0
0.14222567,0.5248343,426.0
0.12544803,0.6929306,441.0
0.22376218,0.8972382,254.0
0.3060908,1.0532937,147.66667
0.22321135,0.491969,361.6667
0.33030474,1.26664,76.0
0.3403513,0.85854375,129.33334
0.113119684,0.69473386,335.6667
0.18137333,0.6805884,406.6667
0.12685537,0.6602279,313.0
0.16870293,0.6587423,321.0
0.15502405,0.5370861,283.33334
0.09637621,0.39998502,351.0
0.23752105,0.88291544,31.666668
0.30319688,0.905086,200.0
0.08727877,0.51603734,434.0
0.41216975,0.9080498,396.0
0.12848204,0.41101477,378.6667
0.2726948,0.62229395,144.0
0.16228084,0.6611101,360.0
0.10442795,0.5592668,232.66667
0.31497627,0.5076364,695.0
0.34814188,0.51844496,74.0
0.48322988,1.2771981,153.66667
0.2562337,0.4869309,664.0
0.20373198,0.60754573,246.0
0.19473027,0.5660546,251.66667
0.20893091,0.75802696,144.0
0.15613717,0.42275807,237.0
0.25632104,0.5830626,136.66667
0.080119506,0.6369246,308.0
0.08147155,0.40988016,125.0
0.10210472,0.45212126,321.6667
0.16430657,1.1411505,365.33334
0.20186105,0.5477865,196.0
0.10705015,0.55668443,140.0
0.2239443,0.80418843,160.66667
0.123778865,0.6046782,139.33334
0.11476701,0.42975485,225.66667
0.09683184,0.44420442,418.0
0.15305293,1.323461,1206.0
0.17975542,0.5994774,192.0
0.13649751,0.51522624,225.33334
0.19031939,0.74985236,120.0
0.115338445,0.8371763,172.0
0.11678499,0.75249666,24.0
0.2839015,0.55120367,305.0
0.10942381,0.7359288,205.0
0.092529595,0.68342733,415.0
0.14998662,0.4632593,400.0
0.20398676,0.50590354,154.66667
0.3403605,0.8545922,129.0
0.09804951,0.5349187,333.6667
0.29004472,0.7075696,242.66667
0.15043461,0.5065435,196.0
0.16929042,0.54913485,434.6667
0.0722276,0.42413348,390.0
0.06825562,0.28667924,22.666668
0.1905297,0.81747663,321.33334
0.3785804,0.5779777,258.0
0.09122019,0.5984566,382.6667
0.055975623,1.0894395,601.3334
0.19281638,0.37687743,292.0
0.09772299,0.7119063,31.0
0.30478802,0.66779774,157.66667
0.08287721,0.47934258,63.0
0.12018656,0.5410418,351.33334
0.16629422,0.58223367,374.6667
0.2197828,0.991356,106.333336
0.1242873,0.5604932,346.0
0.18296829,0.5177927,197.0
0.09322553,0.47257024,594.0
0.1663175,0.5782382,403.0
