,cross_correlation,max_amplitude_difference,p_wave_onset_difference
0,0.587620274882079,0.3248791402604171,333
1,0.9855641428625418,0.616492718123612,127
2,0.9945910349895095,0.6072846289519802,636
3,0.9458816008900115,0.507615491239672,27
4,0.8821263132631701,0.5091567439098256,80
5,0.999078477343708,0.5977170074354059,12
6,0.9119763211311851,0.5788342190951102,182
7,0.7636698415130534,0.6558595321191576,651
8,0.9763700902997698,0.6341927571880026,2
9,0.9168290419942766,0.5981951886468289,163
10,0.9970722813046664,0.5914230976137375,146
11,0.5494745469062796,0.29346420568870374,495
12,0.997526721685417,0.5840135020427597,2
13,0.9923061818640958,0.6051302548125572,7
14,0.9681407568395033,0.6302471654682528,6
15,0.8971463200959469,0.5061608923832144,615
16,0.510928131689036,0.39962079970826436,13
17,0.9974815026196505,0.5915302042024784,4
18,0.9968998085955676,0.6060890038617192,1
19,0.5235251208239096,1.344971391593125,143
20,0.9045817571952414,0.5617457322756306,124
21,0.7884127361493548,0.6127631352721571,0
22,0.7085060812168879,0.22990002471315849,1534
23,0.7134773094449669,0.5649887203385029,49
24,0.9648136723369811,0.5845087560828585,3
25,0.7699814710906725,0.4570465415060404,1
26,0.5735360266662809,0.3819040886863899,137
27,0.9550663791802196,0.6419617839647872,1
28,0.6903602419140604,0.8152198512989639,3
29,0.9963097282413205,0.589229987172319,329
30,0.9954358587762084,0.5976032819219087,2
31,0.9599936307392599,0.5312039465048307,15
32,0.6842287510495907,0.3922801662567755,226
33,0.850887867936482,0.6454046189876039,14
34,0.6237997060300138,0.5052673253152571,1990
35,0.7391359623453166,0.7896125602298674,476
36,0.5333852104312444,0.5723785395842189,152
37,0.9939619493922469,0.6092628663033136,173
38,0.9416898841513128,0.5819201527365537,87
39,0.7478383888392465,0.5654893218351495,38
40,0.7692288848097918,0.5303293226192125,507
41,0.9061498492743455,0.5257150674923681,6
42,0.9457561775260557,0.6743351992823325,1
43,0.9621349719124197,0.5813921656463857,21
44,0.028350409649602788,0.1615950270911963,572
45,0.7694155191463085,0.5892265999600086,2
46,0.5229962580244754,0.9373605660978331,157
47,0.7751428497527004,0.5374814831876672,221
48,0.9798530794962453,0.576860067994008,8
49,0.925037781173745,0.5856024844266273,162
50,0.8387994435476226,0.3052434646136238,112
51,0.9761327236728656,0.6307524712017863,2
52,0.760929578000527,0.6349115826925879,35
53,0.7661877637316533,0.5198906873511809,69
54,0.7184282115905842,0.49335659551703515,4
55,0.023995265702261025,0.17962429643914743,516
56,0.9857915472687483,0.6127944984721388,3
57,0.7621662018979317,0.43982907986151415,7
58,0.8333236961977184,0.5199648770493709,130
59,0.8018911298415469,0.6501940818969493,1647
60,0.7981565627366493,0.6837782962044092,170
61,0.9783890342518017,0.5853442741510045,8
62,0.7063264272001658,0.6400223507991988,8
63,0.536160863317866,0.8495369527585374,15
64,0.0643528716060505,0.492936193923923,2166
65,0.980588972899497,0.5809150448981878,11
66,0.696533830844212,0.5257006358325229,106
67,0.9959342094754181,0.5795126736877818,560
68,0.9964018082956365,0.5986076267072612,2
69,0.22041579175089113,0.49475758600716563,127
70,0.6155868010639304,0.4617655376554363,114
71,0.9638502978017951,0.5598166788245714,587
72,0.9042112585164559,0.6192850555068974,4
73,0.032980524033434495,0.37713453154143006,1462
74,0.874618120544183,0.5293103567500782,363
75,0.9267228505841109,0.6331541369186774,1
76,0.8853295865521955,0.49364615189365446,274
77,0.958265270595567,0.547501984012855,304
78,0.019865459105509645,0.5645270124003432,2278
79,0.9925288746852539,0.5945726166969029,3
80,0.7862639161358521,0.4651494808128681,131
81,0.7885674743375493,0.6833571509076964,445
82,0.7614492252357888,0.5473018830520192,12
83,0.689344935257259,0.5255055200328304,208
84,0.9599588638569528,0.6002137957481991,14
85,0.03613344510553273,0.2638721183609428,2117
86,0.7619635014562083,0.6480543742783621,13
87,0.9639934480923427,0.5828801803052578,2
88,0.9955153646993042,0.6045743119658404,3
89,0.15624272435292652,0.2919489159662981,580
90,0.8096217802041539,0.5227741119171253,7
91,0.8584325921191547,0.5712583812219862,2
92,0.6800806417948402,0.5348719451962232,571
93,0.06289756777396384,0.8336667178947926,188
94,0.9981705553761145,0.5928703874708604,15
95,0.690903660602522,0.5735445688319846,209
96,0.6515933627592665,0.5657413225333586,678
97,0.9743551306292079,0.6226075878279995,9
98,0.8177657168258471,0.5398945645581542,322
99,0.9507385418746205,0.5909752052958307,9
100,0.5905972970340496,0.6950543698473393,672
101,0.549817534419588,0.4047954153932571,120
102,0.9828182448882599,0.5739742816899018,44
103,0.9055460174957816,0.5780300064676809,104
104,0.9034835132468257,0.588940259951002,135
105,0.9790998998858051,0.5950778858033245,10
106,0.9778200627952203,0.5869580626703348,6
107,0.9399884731303708,0.5725896931706267,4
108,0.5666822601982529,0.6165969546762852,221
109,0.6887666521901584,0.6690948121624485,73
110,0.8158002667096064,0.675141646664981,7
111,0.976413116430816,0.5708527314368455,4
112,0.9939529339931784,0.6047871915628331,303
113,0.2838675764445264,0.3336268430807623,434
114,0.5887154706901031,0.6256808922439986,197
115,0.9529090900342748,0.519167116247811,9
116,0.7906241672629998,0.8142443570189483,0
117,0.9986966317153902,0.5925424956225311,8
118,0.9672565614395012,0.5878187560258494,4
119,0.95041491465246,0.6150487830253988,1
120,0.9148607938433109,0.39392757456331734,113
121,0.7145026693805981,0.8006659278354391,4
122,0.1827321006277069,0.5187332530708052,206
123,0.7157281963606145,0.7298143158478747,403
124,0.6701551295367862,0.6504430155816509,169
125,0.019979904163799304,0.35796031027506986,84
126,0.9247325204063467,0.5955060437814297,271
127,0.16890021052438473,0.2875687158728708,224
128,0.6997583351449983,0.8719202718914016,69
129,0.028587512511677873,0.2907549081256111,1317
130,0.33611082089046795,0.5289932235221467,341
131,0.7013120827117378,0.41514813874080486,303
132,0.9710510417849022,0.5739377136402087,63
133,0.8553372896077128,0.33273023795067147,462
134,0.9880462233095325,0.597438132825899,4
135,0.8090031823262709,0.5739698058962585,3
136,0.9976406311058231,0.5910266047293202,11
137,0.04334337457229632,0.1845414991741424,697
138,0.011151416118730167,0.2688717107380493,2651
139,0.9523760644545655,0.6495964718962993,63
140,0.678638025636968,0.6366054835460249,72
141,0.7411872816279911,0.5085858020787275,1
142,0.9785274551968289,0.6016988411990704,241
143,0.8556684134522544,0.5382742578667659,69
144,0.4012522396956764,0.9294592112287888,95
145,0.8682335485783981,0.6579159951462167,645
146,0.5980769048281739,0.39652800027143226,10
147,0.9867321588051998,0.5958203453556719,138
148,0.8336986033057753,0.5163274467582782,2
149,0.8840265755540738,0.6663392433320782,113
150,0.969536210247088,0.6572771259932775,35
151,0.14389707315624026,0.3885202631980178,755
152,0.7465128776220658,0.5035502071655342,16
153,0.5395161536766153,0.31239175427792576,71
154,0.8997943545075853,0.5141461512338743,91
155,0.827085850864926,0.5053515033386382,81
156,0.44255581928886056,0.7822905957046035,350
157,0.8568716302473578,0.5235039839995521,7
158,0.0186710112923583,0.16480139369901187,141
159,0.9410797323296081,0.6186945824697484,12
160,0.9763947822293968,0.633113775050293,2
161,0.9873661661758754,0.5925462744879868,7
162,0.9093104317174462,0.5593616438178445,617
163,0.3245273057912984,0.12815798886840887,551
164,0.997856585850555,0.6056953114220281,5
165,0.9929513877270159,0.6024000970609417,13
166,0.8448817231719002,0.5517996487098877,1
167,0.009684994792395547,0.4488583278671395,10
168,0.9782860517758799,0.570040502202992,3
169,0.5836121587083185,0.38275149264295305,12
170,0.2873337799046945,0.15540720664221722,1332
171,0.7843400327804906,0.4364859387699722,66
172,0.3874228483819173,0.3040319513307792,111
173,0.062246841328877776,0.4877133076480977,907
174,0.9402187730263327,0.5526196074341083,5
175,0.6785109897211141,0.6453888807094843,534
176,0.9884647760228059,0.5967111961595527,19
177,0.9834072857167514,0.5865489793611305,24
178,0.9973816319962138,0.5953897024264597,2
179,0.9780871537009775,0.5892352148032809,771
180,0.9626894600555107,0.5482579905378905,2
181,0.9855562104059286,0.5995704914658532,3
182,0.7273119770761295,0.6371454513185821,11
183,0.9101390403935328,0.6206885265686805,13
184,0.9491982657095855,0.5979219803288439,3
185,0.9833372690093072,0.5518588790502692,3
186,0.9635772713405603,0.59984891315645,220
187,0.39170833903902325,0.26713506114026686,132
188,0.9655276701407473,0.5961092552579986,254
189,0.994427889982815,0.6009656542977219,23
190,0.9779837878890818,0.6281618288753517,3
191,0.05977240282326772,0.38306386345379173,555
192,0.894043741472684,0.48422884334772753,194
193,0.9756303991563338,0.6379858832182059,3
194,0.8965920309583275,0.4607908795537887,203
