cross_correlation,max_amplitude_difference,p_wave_onset_difference
0.8722917,0.75274706,373.33334
0.99261636,0.9558797,259.33334
0.99046266,0.95818824,636.0
0.9755537,0.8623156,202.66667
0.9783525,0.9214524,206.0
0.9953717,0.98295087,171.0
0.9874779,0.90123,198.33334
0.91756296,0.85896033,651.0
0.9880737,0.9619453,251.0
0.96611893,0.86763155,210.0
0.99450207,0.9776664,500.0
0.9232522,0.7992632,527.3334
0.99505186,0.9757344,131.0
0.99389684,0.9452883,221.0
0.99053085,0.9322502,223.33334
0.92818975,0.8587283,615.0
0.9275481,0.74212015,305.33334
0.9954306,0.9746449,125.333336
0.9932816,1.0030886,152.33334
0.9179021,0.75012326,394.0
0.9747812,0.90571284,436.33334
0.95744026,0.8381295,72.66667
0.915486,0.8652246,379.33334
0.9291462,0.7278487,133.33334
0.940158,0.9259943,137.33334
0.9331166,0.7767652,207.66667
0.9251641,0.81116503,169.66667
0.9746224,0.8862251,101.0
0.99539006,0.9592062,392.6667
0.9862125,0.9622786,414.6667
0.9913618,0.9672297,157.0
0.98810124,0.90096897,175.66667
0.9349634,0.7384283,257.33334
0.9075298,0.75755155,221.0
0.91795033,0.7782581,344.33334
0.9522044,0.84363,495.6667
0.88721645,0.798026,211.66667
0.9968836,0.98162335,295.33334
0.9756419,0.8947252,123.333336
0.9485652,0.7700552,184.33334
0.9254328,0.79102314,507.0
0.94335914,0.869068,302.33334
0.9800839,0.90020484,93.66667
0.98240614,0.95174694,162.33334
0.93735623,0.8241366,572.0
0.9927405,0.91760457,27.333334
0.9417242,0.9784476,384.33334
0.8971386,0.75079554,245.66667
0.9953623,0.9509046,202.0
0.9885263,0.88737833,379.6667
0.96087134,0.8872878,112.0
0.98812556,0.96642846,164.33334
0.93847346,0.81985176,129.33334
0.89248514,0.8324935,284.0
0.9367682,0.7689247,327.33334
0.8984747,0.7997184,347.33334
0.9949025,0.95165324,396.6667
0.8885805,0.7716669,98.333336
0.9159004,0.86915106,192.66667
0.9733707,0.879009,459.0
0.9447613,0.8697479,298.33334
0.9952433,0.9343459,155.66667
0.90993947,0.9553033,222.33334
0.9123049,0.93563724,391.6667
0.9226169,0.8140819,238.66667
0.9917469,0.9592702,154.33334
0.9643225,0.91877556,140.0
0.9952113,0.9593543,560.0
0.9940672,0.9419277,128.0
0.933305,0.80522895,139.66667
0.8961421,0.7668518,175.33334
0.95995855,0.94725347,587.0
0.963035,0.92753685,170.0
0.87408423,0.7390435,339.0
0.9575741,0.7996754,529.3334
0.9886832,0.9200613,107.333336
0.97331566,0.8598937,343.33334
0.95401454,0.85467184,365.0
0.90877664,0.79006743,506.6667
0.9943038,0.9226384,148.0
0.93927884,0.7777165,164.33334
0.841747,0.80533695,355.0
0.91662705,0.7869856,247.0
0.93290675,0.8029759,235.33334
0.984254,0.8591382,459.0
0.89062107,0.7535422,382.33334
0.9905428,0.94179267,183.66667
0.98158836,0.8987817,44.666668
0.9961108,0.9734666,250.33334
0.8446443,0.8601731,556.3334
0.95791835,0.8763401,111.333336
0.669892,0.7434224,176.33334
0.9153315,0.8940817,571.0
0.8808731,0.7805923,234.0
0.99554074,0.9830458,215.66667
0.95358574,0.87098885,448.33334
0.91622436,0.64996076,678.0
0.99058676,0.9752163,179.33334
0.926456,0.8201165,477.33334
0.9849941,0.9262563,256.33334
0.89562595,0.611158,672.0
0.92684937,0.826385,117.333336
0.9670881,0.94758856,131.66667
0.9531301,0.8166306,389.33334
0.9641137,0.84026927,185.66667
0.9947814,0.9439585,470.0
0.9456815,0.9487435,178.0
0.96129596,0.8612416,98.0
0.89436316,0.82239616,381.6667
0.94683856,0.7600167,110.66667
0.9796665,0.94717336,390.0
0.9761447,0.9196302,82.333336
0.96573305,0.90392244,560.0
0.9316962,0.7208128,474.33334
0.8941678,0.8303718,326.33334
0.96937263,0.8860382,164.66667
0.9908783,0.9545981,190.33334
0.9919919,0.9530784,404.0
0.9812507,0.8861007,176.33334
0.97391593,0.9787525,124.66667
0.9352393,0.85909265,137.0
0.9523982,0.90048444,287.6667
0.95037544,0.9023482,246.66667
0.92565143,0.8861972,433.6667
0.9016902,0.7483484,238.66667
0.8442094,0.67707837,36.333336
0.9724444,0.8146063,342.6667
0.90976393,0.6589352,321.33334
0.7209277,0.76728153,220.0
0.91205376,0.7544749,484.6667
0.8537208,0.77403325,385.33334
0.89810103,0.7700219,406.6667
0.9827559,0.9100656,448.6667
0.9695673,0.85406744,462.0
0.99393296,0.9309149,302.6667
0.92408204,0.9486348,197.33334
0.9888332,0.95438236,277.6667
0.85501355,0.8648514,697.0
0.8869137,0.7647084,549.0
0.9868269,0.93541384,442.0
0.9182763,0.8011023,525.0
0.9265392,0.79763556,193.33334
0.99202037,0.9196681,268.6667
